诗人,作品,问题,答案
杜甫,月夜忆舍弟,从体裁来看，这首诗属于什么类型的诗歌？,这是一首五言律诗，是一首抒写思乡怀亲之情的经典诗作，同时也真实反映了安史之乱下的社会现实。
杜甫,月夜忆舍弟,这首诗的结构安排有什么特点？,这首诗结构严谨、首尾呼应，前两联侧重写景，以边塞秋夜之景渲染悲凉沉郁的氛围，为后文抒情做铺垫；后两联侧重抒情，集中抒发了诗人对弟弟的思念忧虑之情，同时暗含对国家战乱的慨叹，做到了情景交融、浑然一体。
杜甫,月夜忆舍弟,诗题中的 “舍弟” 是什么意思？,“舍弟” 是古人对自己弟弟的谦称。
杜甫,月夜忆舍弟,“戍鼓断人行，边秋一雁声” 两句是从哪些角度写景的？有什么作用？,这两句从视觉和听觉两个角度写景：视觉上写戍楼上的更鼓声断绝了路上的行人往来，写出了战乱年代宵禁的社会现状；听觉上写秋夜边塞传来孤雁的哀鸣，烘托了秋夜的萧瑟凄凉。两句开篇就勾勒出边塞秋夜的凄凉景象，渲染了战乱年代沉重、悲凉、肃杀的氛围，为全诗奠定了沉郁哀伤的感情基调，也为后文的月夜写景、忆弟抒情做了充足铺垫。
杜甫,月夜忆舍弟,“露从今夜白，月是故乡明” 是千古传诵的名句，运用了什么表现手法？抒发了诗人怎样的情感？,这两句运用了移情于景、情景交融的表现手法，同时辅以对比。前一句点明今夜进入白露节气，露水更白，是客观实景；后一句写诗人觉得月亮还是故乡的最明亮，是融入了诗人主观情感的虚写。诗人将自己对故乡、对亲人的深切思念之情，融入到对月色的感知之中，即便天下明月本无不同，诗人却偏偏觉得故乡的月亮最明亮，深刻抒发了对故乡的深切眷恋，以及对离散亲人的浓浓思念之情。
杜甫,月夜忆舍弟,“有弟皆分散，无家问死生” 两句抒发了诗人怎样的情感？,这两句直抒胸臆，写诗人虽有兄弟，却都因战乱离散各方，家园荡然无存，连彼此的死生消息都无从得知，既抒发了诗人对弟弟们深切的思念、担忧与牵挂之情，也道尽了安史之乱中百姓骨肉分离、家破人亡的深切悲痛，饱含着对战争的控诉。
杜甫,月夜忆舍弟,“寄书长不达，况乃未休兵” 两句在全诗中有什么作用？,这两句是全诗的收尾，既呼应了前文 “有弟皆分散，无家问死生” 的骨肉分离之痛，写家书长期无法送达，进一步强化了诗人对弟弟们的担忧与思念；同时点明了亲人离散、音信隔绝的根本原因是战乱未平，将个人的思亲之痛与国家的战乱动荡、百姓的苦难命运紧密结合起来，深化了全诗的主题，让诗歌的情感更显深沉厚重，也让全诗首尾圆合、结构严谨。
杜甫,月夜忆舍弟,这首诗的核心主旨是什么？,这首诗以安史之乱为背景，通过描绘白露时节边塞秋夜的凄凉景象，抒写了诗人因战乱与弟弟们离散、音信隔绝的处境，抒发了对弟弟们深切的思念、担忧与牵挂之情，同时也表达了对战争的厌恶、对国家动荡不安的慨叹，饱含着忧国忧民的深沉情怀。
杜甫,月夜忆舍弟,这首诗的首联在写法上有什么特别之处？,这首诗的题目是 “月夜忆舍弟”，但首联并没有直接从月夜写起，而是先描绘戍鼓断行、孤雁哀鸣的边塞秋夜景象，开篇就营造出沉重悲凉的氛围，为后文的月夜写景、忆弟抒情做了充足的铺垫，写法突兀不平、匠心独运，尽显杜甫的创作功力。
杜甫,月夜忆舍弟,诗中的 “戍鼓” 和 “断人行” 分别是什么意思？,“戍鼓” 指戍楼上用于宵禁报时的更鼓；“断人行” 指鼓声响起后，路上就禁止行人通行，既写出了当时的宵禁制度，也暗示了战乱年代社会动荡、道路隔绝的现状。
杜甫,月夜忆舍弟,诗中的 “一雁声” 有什么深层含义？,“一雁声” 指孤雁的哀鸣，在古典诗歌中，大雁常被视作传递书信的信使；孤雁的哀鸣既烘托了秋夜的萧瑟凄凉，也暗含了诗人与弟弟们离散、音信隔绝的现状，寄托了诗人对亲人的思念与牵挂之情。
杜甫,月夜忆舍弟,梁启超曾给杜甫怎样的权威评价？,梁启超曾评价杜甫，认为他至少可以当得起 “情圣” 的徽号，因为杜甫的情感内容极丰富、极真实、极深刻，表情方法又极熟练，能鞭辟到情感深处，是中国文学界写情圣手，没有人能比得上。
杜甫,月夜忆舍弟,这首诗的语言风格和格调有什么突出特点？,全诗语言精工质朴、真挚自然，没有华丽的辞藻，却字字含情；格调沉郁哀伤，真挚感人，将个人的思亲之痛与家国之悲融为一体，尽显杜甫诗歌沉郁顿挫的经典风格特点。
杜甫,月夜忆舍弟,这首诗是如何将个人的思亲之情与家国之悲结合起来的？,这首诗先以边塞秋夜的凄凉景象，点明安史之乱下社会动荡、战乱不休的大背景；再写自己与弟弟们因战乱离散、无家可归、死生未卜、家书难寄的个人遭遇；最后以 “况乃未休兵” 点明个人悲剧的根源是国家的战乱，将个人的骨肉分离之痛、思亲怀乡之情，与国家的动荡衰败、百姓的深重苦难紧密结合在一起，让个人情感有了更厚重的家国底色，也让诗歌的主题得到了升华。
杜甫,月夜忆舍弟,这首诗前两联和后两联分别写了什么核心内容？,诗的前两联侧重写景，先写边塞秋夜戍鼓断行、孤雁哀鸣的凄凉景象，再写白露时节的月夜之景，以景衬情，渲染了沉郁悲凉的氛围；诗的后两联侧重抒情，集中抒写了兄弟离散、音信隔绝的悲痛，抒发了对弟弟的深切思念，以及对战乱不休的慨叹，将思亲之情与家国之悲融为一体。
王之涣,凉州词二首·其一,《凉州词二首?其一》中，开篇以特殊远眺视角，描绘黄河奔涌直入云端的壮阔边塞景象，展现西北边地广漠雄浑风光的千古名句是：__________,黄河远上白云间
王之涣,凉州词二首·其一,诗中以壮阔山河为背景，勾勒出边塞孤城雄踞万仞高山之中的苍凉景象，凸显边塞环境荒寒、戍边处境孤危的句子是：__________,一片孤城万仞山
王之涣,凉州词二首·其一,诗中前两句描绘西北边塞壮丽而荒凉的景色，营造出壮阔又苍凉氛围的核心句子是：__________,黄河远上白云间，一片孤城万仞山
王之涣,凉州词二首·其一,诗中借羌笛吹奏的哀怨乐曲，委婉抒发戍边士兵思乡怀亲、不得还乡怨情的句子是：__________,羌笛何须怨杨柳
王之涣,凉州词二首·其一,诗中一语双关，既写边塞春风不至、春光难寻，也暗指朝廷恩泽不及边关，点明戍边将士乡愁根源的千古名句是：__________,春风不度玉门关
王之涣,凉州词二首·其一,诗中后两句借景抒情、一语双关，抒发戍边士兵怀乡之情，同时尽显盛唐诗人豁达广阔胸怀的核心句子是：__________,羌笛何须怨杨柳，春风不度玉门关
王之涣,凉州词二首·其一,诗中以万仞高山的雄阔反衬边塞孤城的渺小孤寂，强烈凸显戍边将士所处环境艰苦的句子是：__________,一片孤城万仞山
王之涣,凉州词二首·其一,诗中以反问语气劝慰戍边将士不必因乡愁哀怨，尽显苍凉慷慨之气的句子是：__________,羌笛何须怨杨柳
王之涣,凉州词二首·其一,诗中交代边塞核心地理标识，点明边关地处偏远、春光不至的句子是：__________,春风不度玉门关
王之涣,凉州词二首·其一,诗中被称作 “唐音” 典型代表，尽显盛唐边塞诗苍凉慷慨、悲而不失其壮风骨的全诗是：__________,黄河远上白云间，一片孤城万仞山。羌笛何须怨杨柳，春风不度玉门关
王之涣,凉州词二首·其一,《凉州词二首?其一》的作者和所属朝代是什么？作者有哪些经典代表作？,作者是盛唐时期的著名诗人王之涣，他以善于描写边塞风光著称，经典代表作有《凉州词》《登鹳雀楼》等。
王之涣,凉州词二首·其一,这首诗的创作背景是什么？,根据王之涣墓志铭可知，这首诗作于唐玄宗开元十五年（727 年）至开元二十九年（741 年）之间，是王之涣辞官后居家的 15 年期间创作的，是《凉州词二首》中的第一首。
王之涣,凉州词二首·其一,诗题中的 “凉州词” 具体指什么？,凉州词又名《出塞》，是为当时流行的《凉州词》曲子所配的唱词，是盛唐时流行的一种曲调名，多用来描写边塞风光与戍边生活。
王之涣,凉州词二首·其一,从题材和体裁来看，这首诗分别属于什么类型的作品？,从题材来看，这是一首经典的边塞诗，是盛唐边塞诗的代表作；从体裁来看，这是一首七言绝句，是为乐府曲调配的唱词，也被称作 “唐音” 的典型代表。
王之涣,凉州词二首·其一,“黄河远上白云间” 一句，诗人采用了怎样的观察视角？描绘了怎样的画面？,这句诗诗人采用了自下向上、由近及远眺望黄河的特殊观察视角，描绘出汹涌澎湃的黄河仿佛一条丝带迤逦飞上云端的动人画面，神思飞跃，气象开阔，极致展现出西北边地广漠壮阔的自然风光。
王之涣,凉州词二首·其一,“一片孤城万仞山” 一句中的 “孤” 字有什么妙处？,“孤” 字一语双关，既写出了边塞孤城在万仞高山的映衬下显得渺小孤寂的地理特点，凸显了边塞环境的荒凉与戍边处境的孤危；也暗含了戍边将士身处边塞、远离家乡的孤独心境，为后文抒发思乡之情做了铺垫。
王之涣,凉州词二首·其一,诗的前两句描绘了怎样的边塞景象？在全诗中有什么作用？,诗的前两句描绘了西北边塞壮丽而荒凉的景色：汹涌的黄河仿佛从白云间奔流而来，一座孤独的边塞城池耸峙在万仞高山之中。这两句既勾勒出边塞壮阔雄浑、苍凉荒寒的意境，营造出壮阔又沉郁的氛围，也凸显了戍边将士所处环境的艰苦与处境的孤危，为后文抒发戍边士兵的怀乡之情做了充足的铺垫。
王之涣,凉州词二首·其一,“羌笛何须怨杨柳” 一句中，“杨柳” 有什么深层含义？,这里的 “杨柳” 既指杨柳树，也指哀怨的古曲《杨柳曲》；在古典诗词中，杨柳常与离别、思乡相关，古人有折柳送别的习俗，诗人借羌笛吹奏的《杨柳曲》，委婉抒发了戍边士兵的思乡怀亲之情与不得还乡的怨情。
王之涣,凉州词二首·其一,“春风不度玉门关” 一句运用了什么表现手法？有什么深层含义？,这句诗运用了一语双关的表现手法。表层含义是写玉门关一带地处偏远边塞，春风吹不到这里，春光迟迟不至；深层含义是暗指朝廷的恩泽、关怀难以抵达偏远的边关，无法体恤戍边将士的辛苦，点明了戍边将士乡愁难遣、不得还乡的根源。
王之涣,凉州词二首·其一,诗的后两句抒发了戍边将士怎样的情感？在情感表达上有什么独特之处？,诗的后两句抒发了戍边士兵不得还乡的思乡怨情，同时也暗含着对朝廷不体恤边关将士的委婉不满。其独特之处在于，虽极力渲染戍卒的怨情，却写得苍凉慷慨、悲而不失其壮，丝毫没有颓丧消沉的情调，充分表现出盛唐诗人豁达广阔的胸怀，也尽显盛唐边塞诗的雄浑风骨。
王之涣,凉州词二首·其一,这首诗的核心主旨是什么？,这首诗以特殊的视角描绘了西北边塞壮丽而荒凉的景色，营造出壮阔而苍凉的氛围，借羌笛、杨柳、春风等意象，抒写了戍边士兵的怀乡之情与不得还乡的怨情；全诗虽写悲怨，却苍凉慷慨、悲而不失其壮，尽显盛唐诗人的广阔心胸与昂扬的时代风骨，是 “唐音” 的典型代表。
王之涣,凉州词二首·其一,这首诗的前两句和后两句分别写了什么核心内容？,诗的前两句侧重写景，以远眺的视角描绘了黄河奔涌、孤城雄踞高山的边塞景象，展现了西北边地壮阔又荒凉的自然风光，营造出苍凉雄浑的氛围；诗的后两句侧重抒情，借羌笛吹奏的《杨柳曲》与春风不度玉门关的现实，委婉抒发了戍边将士的思乡怀亲之情，同时尽显盛唐豁达慷慨的风骨。
王之涣,凉州词二首·其一,这首诗的意境有什么突出特点？,这首诗的意境兼具壮阔雄浑与苍凉沉郁，开篇以黄河、白云、万仞高山勾勒出极其开阔宏大的边塞画面，气象万千；同时又以孤城、羌笛、不度的春风，渲染出边塞荒寒孤寂的氛围，壮阔中带着苍凉，悲怨中又不失慷慨豪壮，完美契合盛唐边塞诗的经典意境特点。
王之涣,凉州词二首·其一,这首诗为什么被称作 “唐音” 的典型代表？,这首诗虽极写戍边者不得还乡的怨情，但写得大气悲壮、苍凉慷慨，悲而不失其壮，没有丝毫衰飒颓唐的情调，充分表现出盛唐诗人广阔的心胸与昂扬的时代精神，完美体现了盛唐诗歌的风骨与气度，因此被称作 “唐音” 的典型代表。
王之涣,凉州词二首·其一,这首诗的语言风格有什么突出特点？,全诗语言凝练自然、雄浑开阔，没有华丽雕琢的辞藻，却以极简的笔墨勾勒出壮阔的边塞画面，同时将戍边将士的复杂情感融入其中，言简意丰，意蕴深远，兼具极强的画面感与情感张力，尽显盛唐诗歌雄浑大气的语言风格。
王之涣,凉州词二首·其一,这首诗在情感表达上有什么独到之处？,这首诗在情感表达上的独到之处在于 “悲而不伤、怨而不怒”。诗人抒写戍边将士的思乡怨情，却没有陷入颓丧消沉的情绪之中，反而以壮阔的边塞景象为底色，让这份乡愁显得苍凉慷慨，尽显盛唐的豁达胸怀；同时对朝廷的不满也表达得委婉含蓄，以 “春风不度玉门关” 一语双关，怨而不怒，意蕴深远。
王之涣,凉州词二首·其一,王之涣的 “黄河远上白云间” 与他的另一名句 “黄河入海流”，在观察视角上有什么不同？,“黄河远上白云间” 的观察角度是自下向上、由近及远的远眺，是目送黄河向西而去，仿佛流入白云之中；而 “黄河入海流” 的观察角度是自上而下的目送，是眺望黄河奔涌向东、流入大海，二者视角正好相反，却都写出了黄河的壮阔气势，尽显诗人的笔力。
王之涣,凉州词二首·其一,这首诗是如何做到情景交融的？,这首诗先以景起兴，前两句描绘黄河远上、孤城万仞的壮阔又荒凉的边塞之景，既凸显了戍边环境的艰苦，也烘托出戍边将士内心的孤独与乡愁，为后文的抒情做了铺垫；后两句则借羌笛、杨柳、春风等景与物，将戍边将士的思乡怀亲之情、不得还乡的怨情委婉抒发出来，情与景完美融合，让诗歌的情感表达更显深沉厚重，意蕴深远。
李白,关山月,《关山月》中，开篇以宏大视角描绘明月从天山升起、穿行苍茫云海的辽阔边塞图景，包含关、山、月三大核心意象的千古名句是：__________,明月出天山，苍茫云海间
李白,关山月,诗中写浩荡长风跨越万里关山，一直吹到戍边将士驻守的玉门关，将边塞空间拉满、烘托征人怀乡情绪的句子是：__________,长风几万里，吹度玉门关
李白,关山月,诗中前四句勾勒出横跨万里的边塞全景，奠定全诗苍凉雄浑基调的核心句子是：__________,明月出天山，苍茫云海间。长风几万里，吹度玉门关
李白,关山月,诗中回顾历代边塞征战历史，写汉唐时期边关战事频发、双方军事对峙的句子是：__________,汉下白登道，胡窥青海湾
李白,关山月,诗中直写边塞征战的残酷，道尽自古以来出征将士极少生还的悲惨现实的句子是：__________,由来征战地，不见有人还
李白,关山月,诗中中间四句具体描写战争景象，渲染战场悲惨残酷氛围的核心句子是：__________,汉下白登道，胡窥青海湾。由来征战地，不见有人还
李白,关山月,诗中正面描写戍边士卒遥望边城，满心思归、面容凄苦，直接抒发征人怀乡之痛的句子是：__________,戍客望边邑，思归多苦颜
李白,关山月,诗中从对面落笔，以想象的笔法写家中思妇在同样的月夜，于高楼之上不停叹息、思念征人的句子是：__________,高楼当此夜，叹息未应闲
李白,关山月,诗中后四句双向抒写征人与思妇的两地相思，深刻反映战争带给广大民众苦难的核心句子是：__________,戍客望边邑，思归多苦颜。高楼当此夜，叹息未应闲
李白,关山月,诗中借汉代白登之战的典故，展现边塞战争频发的历史与现实的句子是：__________,汉下白登道，胡窥青海湾
李白,关山月,诗中以同一轮明月为纽带，串联起边塞征人与家乡思妇的相思之情，贯穿全诗的核心意象句是：__________,明月出天山，苍茫云海间
李白,关山月,《关山月》的作者和所属朝代是什么？作者在诗坛有哪些公认的称号与地位？,作者是唐代伟大的浪漫主义诗人李白，字太白，号青莲居士，被后人誉为 “诗仙”，与杜甫并称为 “大李杜”。
李白,关山月,这首诗的创作背景是什么？,本诗具体创作时间不详，是李白在看见征战的场景后，叹息征战之士的辛苦和后方思妇的愁苦时所作。
李白,关山月,诗题《关山月》属于什么诗歌体例？,《关山月》是汉代乐府歌曲之一，属于 “鼓角横吹曲”，是当时守边将士经常在马上奏唱的曲调，李白这首诗是借用乐府旧题创作的诗作。
李白,关山月,从题材和体裁来看，这首诗分别属于什么类型的作品？,从体裁来看，这是一首五言古诗，是诗人借乐府旧题创作的作品；从题材来看，这是一首边塞诗，深刻反映了边塞征战生活与战争带给普通百姓的苦难。
李白,关山月,这首诗的结构安排有什么特点？全诗分为哪几层？,全诗结构层次清晰，分为三层：开头四句为第一层，描画包含关、山、月三种因素在内的辽阔边塞图景，引出征人怀乡的情绪；中间四句为第二层，具体描写战争景象，渲染战场的悲惨残酷；后四句为第三层，写征人思归的悲苦与家中思妇的思念叹息，抒写两地相思之情，点明诗歌主旨。
李白,关山月,诗的开篇四句描绘了怎样的边塞图景？在全诗中有什么作用？,诗的开篇四句描绘了一幅辽阔雄浑又苍茫壮阔的边塞图景：一轮明月从祁连山升起，穿行在苍茫的云海之间；浩荡的长风掠过万里关山，一直吹到戍边将士驻守的玉门关。这四句以明月、天山、云海、长风、玉门关等核心意象，勾勒出横跨万里的边塞全景，既奠定了全诗苍凉雄浑的感情基调，也为后文写征战的残酷与征人的怀乡之情做了充足的铺垫。
李白,关山月,“长风几万里，吹度玉门关” 一句在空间描写上有什么特点？,这句诗在空间描写上视野极其开阔，以 “几万里” 的浩荡长风，将相隔万里的天山边塞与玉门关串联起来，铺展开横跨西北边塞的宏大空间，既凸显了边塞的辽阔辽远，也暗含了戍边将士与家乡相隔万里的距离，为后文抒发怀乡之情埋下了伏笔。
李白,关山月,诗的中间四句写了什么内容？在全诗中有什么作用？,诗的中间四句具体描写了边塞战争的景象：当年汉兵直指白登山道，吐蕃觊觎青海大片河山；而这些历代征战之地，出征的将士很少能够生还。这四句既回顾了历代边塞征战的历史，也反映了当下边关战事频发的现实，直接点出了边塞战争的残酷，揭示了征人思归不得的根本原因，同时也为后文谴责穷兵黩武、表现反对战争的主题做了铺垫。
李白,关山月,“由来征战地，不见有人还” 一句抒发了诗人怎样的情感？,这句诗直抒胸臆，道尽了自古以来边塞征战之地，出征将士极少能够生还的悲惨现实，既抒发了诗人对戍边将士悲惨命运的深切同情，也表达了对非正义战争、统治阶级穷兵黩武的谴责与批判，表现出反对侵略战争的思想。
李白,关山月,诗的后四句是如何抒写相思之情的？运用了什么表现手法？,诗的后四句运用了虚实结合、对面落笔的表现手法。先实写眼前的戍边士卒，他们眼望着边城，满心思归，面容凄苦悲哀；再虚写想象中的画面，远在家乡的妻子，在同样的月夜里，于高楼之上彻夜无眠，不停叹息，思念着远方的征人。诗人将征人的思归之苦与思妇的盼归之愁两两对照，双向抒写了两地相思的深切悲苦，深刻反映了战争带给普通百姓的深重苦难。
李白,关山月,这首诗的核心主旨是什么？,这首诗是李白借乐府旧题创作的诗作，全诗描绘了辽阔苍茫的边塞图景，展现了历代边塞战争的残酷现实，抒写了远离家乡的戍边将士与家中妻室的双向相思之情，深刻地反映了战争带给广大民众的苦难；同时谴责了非正义的战争给人民带来的苦难，借以影射批判唐代统治阶级的穷兵黩武，表现了反对侵略战争的主题。
李白,关山月,这首诗在内容上对乐府古题有怎样的继承与创新？,《关山月》作为汉代乐府古题，传统内容多写边塞征战与离别相思；李白这首诗在内容上仍继承了古乐府的传统核心主题，同时笔法独到，翻古意而又有所创新。诗人不仅抒写了边防战士的艰难困苦与相思之情，更将个人的悲欢离合与历代征战的历史、对战争的批判结合起来，深刻谴责了非正义战争与统治阶级的穷兵黩武，赋予了古题更深刻的思想内涵与现实意义。
李白,关山月,“高楼当此夜，叹息未应闲” 一句中，“高楼” 指的是什么？这句诗有什么表达效果？,“高楼” 在这里代指戍边将士家中的思妇所居住的居所。这句诗从对面落笔，以想象的笔法，写思妇在同样的月夜中，于高楼之上不停叹息、思念征人的画面，与前句戍边将士的思归之苦形成呼应，双向抒写了两地相思的悲苦，让情感表达更显深沉真挚，也更全面地展现了战争带给普通家庭的深重苦难，深化了诗歌的主题。
李白,关山月,这首诗的意境有什么突出特点？,这首诗的意境兼具雄浑壮阔与苍凉悲慨。开篇四句以明月、天山、云海、长风、玉门关等意象，勾勒出横跨万里的边塞全景，气象雄浑，境界极其开阔；中间四句写历代征战的残酷，意境转为沉郁悲慨；后四句写征人与思妇的两地相思，情感深沉凄婉。全诗将宏大的边塞图景、残酷的战争现实与细腻的人间悲欢融为一体，壮阔中带着苍凉，雄浑中含着悲慨，尽显李白浪漫主义诗歌的笔力与风骨。
李白,关山月,诗中的 “月” 这一意象在全诗中有什么作用？,“月” 是全诗的核心意象，也是贯穿全诗的线索。开篇以 “明月出天山” 起笔，勾勒出边塞月夜的壮阔图景，月是边塞风光的核心组成部分；同时，在古典诗词中，明月是思乡怀人的经典意象，天上的同一轮明月，既照着边塞的戍客，也照着家乡高楼里的思妇，成为连接两地相思的纽带，推动了全诗怀乡主题的展开，也让全诗的情景交融更显自然紧密。
李白,关山月,这首诗抒发了诗人哪些复杂的思想情感？,这首诗抒发的情感丰富而深沉：一是对久戍边关、思归不得的戍边将士的深切同情；二是对因战争与丈夫分离、日夜思念的思妇的悲悯；三是对历代边塞战争的残酷、非正义战争带给百姓深重苦难的谴责；四是借古讽今，对唐代统治阶级穷兵黩武的行为的影射与批判，表现出反对侵略战争的思想。
李白,关山月,“汉下白登道，胡窥青海湾” 一句运用了什么表现手法？有什么作用？,这句诗运用了用典与互文的表现手法，借用汉代白登之战的历史典故，同时以汉、胡双方的军事对峙，互文见义地写出了历代边塞战事频发的历史与现实。作用是既拓展了诗歌的历史纵深感，也具体展现了边塞战争的频繁与紧张，为后文 “由来征战地，不见有人还” 的残酷现实做了铺垫，揭示了战争带给百姓苦难的根源。
李白,关山月,这首诗的语言风格有什么突出特点？,全诗语言雄浑自然、凝练质朴，没有华丽雕琢的辞藻，却以极简的笔墨勾勒出极其宏大的边塞图景，气象万千；同时情感表达真挚深沉，既有大开大合的雄浑笔力，又有细腻入微的情感刻画，兼具浪漫主义的壮阔想象与现实主义的深刻批判，尽显李白诗歌豪放飘逸又沉郁真挚的语言风格特点。
岑参,逢入京使,《逢入京使》中，开篇写诗人向东遥望长安家园，感慨路途遥远，以夸张手法极写思乡泪水难止、深切抒发怀乡之情的句子是：__________,故园东望路漫漫，双袖龙钟泪不干
岑参,逢入京使,诗中点明诗人远赴边塞、与家乡相隔万里的处境，为全诗抒发思乡之情做铺垫的句子是：__________,故园东望路漫漫
岑参,逢入京使,诗中以夸张手法，写诗人思乡心切、泪水沾湿双袖难以擦干，将浓烈的怀乡之情写到极致的句子是：__________,双袖龙钟泪不干
岑参,逢入京使,诗中捕捉边塞途中的典型生活场景，写诗人与入京使者匆匆相逢，因无纸笔只能托其捎带口信的千古名句是：__________,马上相逢无纸笔，凭君传语报平安
岑参,逢入京使,诗中写边塞途中仓促相逢的特殊处境，点明无法书写家书的客观现实的句子是：__________,马上相逢无纸笔
岑参,逢入京使,诗中写诗人托入京使者给家人捎去平安消息，以安慰家中悬望亲人的核心句子是：__________,凭君传语报平安
岑参,逢入京使,诗中既抒写了对家人的深切思念，又尽显边塞军人豁达胸襟与报国豪情的核心名句是：__________,马上相逢无纸笔，凭君传语报平安
岑参,逢入京使,《逢入京使》的作者和所属朝代是什么？作者在诗坛有哪些公认的地位？,作者是唐代诗人岑参，他与高适并称 “高岑”，是盛唐边塞诗派的代表诗人，世称 “岑嘉州”，其诗作尤擅描写边塞风光、军旅生活与异域文化风俗，边塞诗成就极高。
岑参,逢入京使,这首诗的创作背景是什么？,这首诗作于唐玄宗天宝八载（749 年），是岑参第一次从军西征，远赴安西（今新疆维吾尔自治区库车县）上任途中所作。当时他辞别了居住在长安的家人，充任安西节度使高仙芝的幕府书记，在西行奔赴边塞的途中，偶遇回京的使者，有感而发写下了这首诗。
岑参,逢入京使,从题材和体裁来看，这首诗分别属于什么类型的作品？,从题材来看，这是一首边塞诗，也是一首抒写思乡怀亲之情的纪行诗；从体裁来看，这是一首七言绝句。
岑参,逢入京使,诗题中的 “逢入京使” 是什么意思？,“逢入京使” 指的是诗人在远赴边塞的西行途中，偶遇了前往京城长安的使者。
岑参,逢入京使,“故园东望路漫漫” 一句中，“故园” 和 “漫漫” 分别是什么意思？,“故园” 指长安和诗人在长安的家；“漫漫” 形容路途十分遥远。
岑参,逢入京使,“双袖龙钟泪不干” 一句中，“龙钟” 是什么意思？这句诗运用了什么修辞手法？,“龙钟” 在这里形容泪流纵横的样子。这句诗运用了夸张的修辞手法，写诗人的思乡泪水沾湿双袖、难以擦干，极写诗人对家乡亲人思念之情的浓烈与深切。
岑参,逢入京使,这首诗的前两句和后两句分别写了什么核心内容？,诗的前两句侧重抒情，写诗人远赴边塞途中，东望长安故园，感慨路途遥远，思乡的泪水难以止歇，直抒胸臆地抒发了深切的怀乡之情；诗的后两句侧重叙事，捕捉了路逢入京使者的典型生活场景，写因马上匆匆相逢没有纸笔，只能托使者给家人捎去平安口信的事情，将思乡之情与边塞豪情交织在一起。
岑参,逢入京使,这首诗的核心主旨是什么？,这首诗描写了诗人远涉边塞途中，偶遇回京使者，托其捎带平安口信以安慰家中悬望亲人的典型场面，深刻揭示了诗人旅途的颠沛流离与对家乡亲人的深切思念，同时也交织着诗人远赴边塞、渴望建功立业的豪情，一亲情一豪情相融，情感真挚浓烈，极具人情味。
岑参,逢入京使,这首诗中包含的两大核心情怀分别是什么？,全诗包含着两大核心情怀：一是对家乡亲人深切的思念之情，二是诗人远赴边塞、渴望建功立业的豪迈报国之情，一亲情一豪情，交织相融。
岑参,逢入京使,这首诗为什么能成为传诵千古的名作？,这首诗之所以广受推崇、传诵千古，核心在于它写得自然、本色，语言朴素自然、清新明快，没有华丽雕琢的辞藻，却以极简的笔墨捕捉了边塞途中最真实、最典型的生活场景，将浓烈的思乡柔情与边塞军人的豁达豪迈完美融合，情感真挚动人，余味深长，极易引发读者的共鸣。
岑参,逢入京使,“马上相逢无纸笔，凭君传语报平安” 两句体现了诗人怎样的复杂情感？,这两句写诗人在马上匆匆偶遇入京使者，没有纸笔书写家书，只能托对方捎个平安口信。一方面，托人传语报平安，尽显诗人对家乡亲人的深切思念与牵挂，也暗含着无法写一封完整家书的无奈与遗憾；另一方面，在匆匆相逢的仓促之间，诗人只以 “报平安” 相托，没有沉溺于思乡的悲戚之中，尽显边塞军人的豁达胸襟与奔赴边塞、渴望建功立业的昂扬豪情，将思乡的柔情与报国的豪情完美交织在一起。
岑参,逢入京使,这首诗的语言风格有什么突出特点？,全诗语言朴素自然、清新明快，全无雕琢修饰的痕迹，用最本色、最口语化的通俗语言，抒写了最真挚动人的情感，通俗易懂却余味深长，极具生活气息与艺术感染力。
岑参,逢入京使,这首诗在叙事与抒情的结合上有什么独到之处？,这首诗做到了叙事与抒情的完美融合，寓情于事。前两句先直抒胸臆，以夸张的手法写尽浓烈的思乡之情，为全诗奠定情感基调；后两句则通过 “马上相逢托传语” 的典型小事，将思乡之情融入具体的叙事之中，于朴实的叙事中藏着真挚深沉的情感，既写出了思乡的柔情，也藏着报国的豪情，以小见大，极具艺术感染力。
岑参,逢入京使,诗人明明思乡心切、泪流不止，为什么最后只托使者给家人 “报平安”？,诗人虽然深切思念家乡、牵挂亲人，但他此次西行是为了 “万里奉王事”，奔赴边塞建功立业，理智上他清楚自己的使命，不愿让家人为自己的边塞行程担忧；同时，在边塞途中匆匆相逢的仓促场景下，一句 “报平安” 是最朴素也最能安慰家中亲人的话语，看似简单的三个字，既藏着诗人对家人的深切牵挂，也尽显他豁达乐观、以国事为重的胸襟。
岑参,逢入京使,从题材分类来看，这首诗为什么归属于边塞诗？,这首诗创作于诗人第一次从军西征、远赴安西边塞的途中，内容围绕诗人边塞征途的亲身经历展开，既描写了边塞征途的颠沛流离，也体现了盛唐边塞军人的生活状态与精神风貌，同时兼具边塞诗的豪迈风骨与时代特征，因此归属于边塞诗，也是盛唐边塞诗的经典代表作。
李贺,马诗二十三首·其五,《马诗二十三首?其五》中，运用比喻手法，描绘边塞大漠月夜壮阔苍凉景象，勾勒出适于骏马驰骋的原野景色的句子是：__________,大漠沙如雪，燕山月似钩
李贺,马诗二十三首·其五,诗中写广阔沙漠在月光下像铺上一层白皑皑霜雪，以雪喻沙、尽显边塞旷野辽阔无垠的句子是：__________,大漠沙如雪
